px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
116.722	12.1997	1.95476	-0.109782	-0.0220316	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.00651
118.865	12.0001	2.13804	-0.0987326	0.00077102	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	1.30306
118.872	12.0025	2.15033	-0.0957155	0.0033304	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0309933
120.77	12.2509	1.97196	0.134645	0.125584	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.78967
120.809	12.2507	2.03564	0.135223	0.125236	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.496742
123.351	12.7869	2.49211	0.286078	0.130368	123.568	12.8297	122.95	12.5114	2.29835	0.246599	8.1169
123.31	12.7866	2.44393	0.292979	0.136736	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.48952
125.108	12.8853	1.93346	0.164706	0.00270781	124.894	12.7743	125.242	12.8125	2.37624	0.369827	10.4356
125.203	12.9037	2.12205	0.155551	-0.00451756	125.376	12.9964	125.242	12.8125	2.37624	0.369827	3.82765
127.695	13.3014	2.45668	0.153401	-0.0010991	127.853	13.3273	127.609	13.2365	2.44434	0.495787	4.29709
127.674	13.2993	2.46427	0.152589	-0.0028639	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.511346
129.976	13.6972	2.40613	0.171773	0.00952726	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.139193
130.029	13.7025	2.4407	0.17089	0.00926896	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.26336
132.157	14.4856	2.31742	0.37067	0.119358	132.092	14.507	132.53	14.458	2.55028	0.74543	1.22519
132.23	14.4786	2.43265	0.346535	0.0943292	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.67122
134.934	15.0439	2.69028	0.191684	-0.0563717	135.074	15.0475	135.066	15.2513	2.58865	0.863795	3.90561
134.949	15.0426	2.68036	0.189509	-0.0572488	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.308784
137.533	16.1623	2.77184	0.439605	0.120372	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.76346
137.579	16.1538	2.84872	0.417776	0.0961928	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.743809
140.299	17.0286	2.87614	0.323982	-0.0180297	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.728858
140.315	17.03	2.89711	0.31986	-0.0220797	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0811623
142.919	17.992	2.84081	0.349382	0.00902225	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.190128
142.887	17.9875	2.83671	0.347617	0.00445995	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.797364
145.409	19.1502	2.81817	0.448272	0.0624852	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.197219
145.49	19.1509	2.90915	0.426206	0.0406274	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.84719
148.202	20.4554	3.02052	0.466105	0.0377314	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.467612
148.195	20.4578	3.00174	0.473028	0.0457914	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0756823
150.692	22.0985	3.01743	0.620971	0.107537	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.202848
150.71	22.0857	3.07084	0.59064	0.07076	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.802655
153.397	23.5111	3.06419	0.489843	-0.0353537	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.630463
153.386	23.5103	3.04464	0.496044	-0.0281505	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.0666162
156.053	24.8173	3.02016	0.435044	-0.0480823	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0369277
156.029	24.818	2.96162	0.451372	-0.0282781	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.485925
158.85	26.017	3.07353	0.374646	-0.0590464	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.556093
158.88	26.0203	3.0945	0.370385	-0.0618159	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.337793
161.474	27.4156	2.99374	0.488218	0.047317	161.412	27.4256	161.493	27.4891	2.65371	1.33344	1.1054
161.481	27.4218	2.9799	0.495965	0.057519	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.27847
163.726	28.8116	2.75305	0.588315	0.0849724	163.625	28.7683	164.155	28.8064	2.64354	1.28825	2.0102
163.822	28.8151	2.85538	0.555169	0.0522621	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.5108
166.694	30.172	3.10995	0.411045	-0.0739948	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.66911
166.669	30.1685	3.05337	0.424426	-0.0585525	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.416829
169.178	31.3912	2.88861	0.432858	-0.0177629	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.20173
169.184	31.3915	2.89166	0.43227	-0.0179049	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0340201
172.094	32.3347	3.04087	0.270247	-0.107452	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.367
172.091	32.3319	2.99786	0.272843	-0.103235	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.484405
174.706	33.4432	2.88894	0.377868	0.0204897	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.31708
174.668	33.4425	2.82735	0.387553	0.0315378	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.459636
177.1	34.2446	2.65448	0.326483	-0.0211836	177.03	34.2009	177.261	34.3262	2.52363	0.850119	1.26299
177.096	34.2437	2.6314	0.328925	-0.0181371	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.112174
179.991	35.1025	2.95934	0.265356	-0.0460147	180.145	35.1423	179.799	35.1289	2.47883	0.732949	4.22959
179.899	35.0868	2.81215	0.277954	-0.0335286	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.67512
182.594	35.7551	2.82199	0.222381	-0.0464528	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0125943
182.5	35.7375	2.69125	0.227639	-0.0416056	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.61769
184.815	36.5118	2.52502	0.310636	0.0317846	184.732	36.5155	184.73	36.37	2.36226	0.487877	1.36086
184.782	36.5108	2.44687	0.319265	0.0414527	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.700095
186.993	36.9817	2.3257	0.219967	-0.0394001	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.892881
187.042	36.9908	2.37648	0.216206	-0.0421175	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.821485
189.431	37.4033	2.44519	0.145096	-0.0582552	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.199807
189.445	37.4025	2.41107	0.141972	-0.0609267	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.885806
191.754	37.5726	2.37159	0.0385675	-0.0855482	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0918409
191.713	37.5594	2.30214	0.0295357	-0.0945147	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.583991
193.605	37.3023	2.02847	-0.178845	-0.164808	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	3.21213
193.608	37.3067	2.04696	-0.171933	-0.157469	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0769664
195.89	37.3486	2.20227	0.00803183	0.0397798	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	3.31618
195.807	37.3327	2.08308	-0.0202158	0.0166656	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.04141
197.754	37.6924	2.00127	0.204753	0.131759	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.84069
197.71	37.6849	1.95205	0.199626	0.128883	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.611058
199.398	37.3908	1.69815	-0.0913348	-0.0974295	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	5.37037
199.389	37.3878	1.68581	-0.0930616	-0.0991646	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0279397
201.409	37.0168	1.98484	-0.247763	-0.119574	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	3.41043
201.331	36.9874	1.89008	-0.290087	-0.15449	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	1.85224
202.99	36.4395	1.81622	-0.390741	-0.128391	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.214884
202.94	36.4202	1.75164	-0.429172	-0.16179	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.771843
204.124	36.0996	1.36228	-0.405363	-0.0737804	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	5.30061
204.113	36.0948	1.41082	-0.388446	-0.050402	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.72557
